Date_collected,ID,site,species,host_plant,date_processed,sample_name,pollen,dil.factor,apiary_near_far
7/10/15,ONE48,ONE,Griseocollis,Hypericum perforatum,12/8/15,151,1,4.3435,1
7/10/15,ONE44,ONE,Vagans,Hypericum perforatum,12/8/15,152,1,8.0605,1
7/10/15,ONE18,ONE,Vagans,Hypericum perforatum,12/8/15,153,1,5.798,1
7/10/15,ONE32,ONE,Bimaculatus,Hypericum perforatum,4/18/16,285,1,8.733,1
7/10/15,ONE27,ONE,Bimaculatus,Hypericum perforatum,4/18/16,287,1,9.958,1
7/10/15,ONE40,ONE,Bimaculatus,Hypericum perforatum,4/18/16,288,1,5.555,1
7/10/15,ONE29,ONE,Bimaculatus,Hypericum perforatum,4/18/16,294,1,10.233,1
7/10/15,ONE20,ONE,Bimaculatus,Hypericum perforatum,4/20/16,302,1,2.085,1
7/10/15,ONE22,ONE,Bimaculatus,Hypericum perforatum,4/27/16,334,1,5.375,1
7/10/15,ONE14,ONE,Bimaculatus,Hypericum perforatum,4/27/16,335,1,7.2545,1
7/10/15,ONE21,ONE,Bimaculatus,Hypericum perforatum,4/27/16,338,1,4.6825,1
7/10/15,ONE42,ONE,Bimaculatus,Hypericum perforatum,4/27/16,339,1,4.625,1
7/10/15,ONE30,ONE,Bimaculatus,Hypericum perforatum,4/27/16,340,1,10.324,1
7/7/15,PAT12,PAT,Bimaculatus,Cornelia varia,5/2/16,346,1,11.464,1
7/7/15,PAT24,PAT,Bimaculatus,Cornelia varia,5/2/16,349,1,9.3625,1
7/7/15,PAT33,PAT,Bimaculatus,Cornelia varia,5/2/16,350,1,7.193,1
7/4/15,PAT1,PAT,Bimaculatus,NA,5/2/16,354,1,7.888,1
7/4/15,PAT9,PAT,Griseocollis,Cornelia varia,5/2/16,355,,7.5495,1
7/7/15,PAT37,PAT,Bimaculatus,NA,5/4/16,360,1,7.019,1
7/7/15,PAT13,PAT,Bimaculatus,Cornelia varia,5/4/16,365,1,4.119,1
7/7/15,PAT25,PAT,Bimaculatus,Cornelia varia,5/4/16,367,1,3.601,1
7/7/15,PAT14,PAT,Bimaculatus,Cornelia varia,5/4/16,369,1,6.515,1
7/7/15,PAT28,PAT,Bimaculatus,Cornelia varia,5/4/16,371,1,1.8285,1
7/7/15,PAT17,PAT,Bimaculatus,Cornelia varia,5/15/16,374,1,8.247,1
8/26/15,PITH29,PITH,Vagans,impatiens capensis,10/10/15,41,1,6.936,1
8/26/15,PITH27,PITH,Vagans,impatiens capensis,10/10/15,42,1,5.082,1
7/23/15,RICE22,RICE,Vagans,Vicia cracca,9/29/15,31,NA,4.8515,0
7/23/15,RICE29,RICE,Vagans,Vicia cracca,10/10/15,43,1,3.8545,0
7/23/15,RICE27,RICE,Vagans,Vicia cracca,10/10/15,44,1,7.392,0
