ID,Date,Site,Morpho species,plant,Time,Bee,
345,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
346,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
347,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
348,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
349,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
350,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
351,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
352,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
353,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
354,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
355,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
356,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
357,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
358,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
359,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
360,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
361,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
362,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
363,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
364,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
365,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
366,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
367,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
368,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
369,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
370,7/31/15,HOGB,small bombus,Trifolium pratense,12:35 PM,bombus,
