LocationName,ColonyCount,Address1,city,lat,long
Englert Yard,30,550 VT RT 64,Williamstown,44.12052,-72.55337
Home,0,263 Farm and Wilderness Road,Plymouth,43.569431,-72.756722
8,4,Unknown,Orwell,43.75621,-73.30979
Stoney Meadow,5,1582 Peth Road,Braintree,43.977345,-72.670708
UVM Extention,6,665 Spear Street,South Burlington,44.455965,-73.194079
Halfway House Yard,14,RT 22A,Shoreham,43.93379,-73.31011
Home Yard,5,145 Mountainview Drive,Sheffield,44.595979,-72.113549
Moore's Orchard off S. Pomfret Rd.,0,Unknown,Pomfret,43.704791,-72.515929
Off Rt.11,2,660 Maple Street,Perkinsville,43.367512,-72.505023
Home,3,1857 Pleasent Street,Bethel,43.853233,-72.648425
Hall Drone Yard,15,Quaker St,Lincoln,44.107641,-72.995966
Home,0,238 Marylyn Lane,Newark,44.674146,-71.951995
Home Yard,12,367 Fisher Road,Orwell,43.850301,-73.248921
by barn Moore's Orchard off S. Pomfret R,0,Unknown,Pomfret,43.704791,-72.515929
Home Yard,2,Unknown,Dorset,NA,NA
Home Yard,2,120 Sugar House Road,Pomfret,43.722837,-72.452791
