well,labID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
A8,P80,DWV,1.136,No Amp,UNKNOWN,35.966,35.966,-,0.618,0.618,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,33,FALSE,
A9,P81,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A10,P82,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A11,P83,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A12,P84,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B1,P73,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B2,P74,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B3,P75,DWV,0.835,No Amp,UNKNOWN,38.548,38.548,-,0.116,0.116,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,FALSE,
B4,P76,DWV,1.22,Amp,UNKNOWN,33.231,33.231,-,3.631,3.631,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,
B5,P77,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B6,P78,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B7,P79,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B8,P80,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B9,P81,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B10,P82,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B11,P83,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B12,P84,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
C1,P73,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C2,P74,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C3,P75,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C4,P76,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C5,P77,BQCV,1.319,Amp,UNKNOWN,31.299,31.079,0.311,10.45,12.238,2.528,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,26,FALSE,
C6,P78,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C7,P79,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C8,P80,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C9,P81,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C10,P82,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C11,P83,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
C12,P84,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D1,P73,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D2,P74,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D3,P75,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D4,P76,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D5,P77,BQCV,1.324,Amp,UNKNOWN,30.859,31.079,0.311,14.025,12.238,2.528,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,26,FALSE,
D6,P78,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D7,P79,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D8,P80,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D9,P81,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D10,P82,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D11,P83,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
D12,P84,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
E1,P85,DWV,0.989,Amp,UNKNOWN,31.313,33.188,2.651,12.565,6.837,8.1,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,28,FALSE,
E2,P86,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E3,P87,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E4,P88,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E5,P89,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E6,P90,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E7,P91,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E8,P92,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E9,P93,DWV,0.482,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,TRUE,
E10,P94,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E11,P95,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
E12,No Sample,DWV,0,No Amp,NTC,Undetermined,-,-,-,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F1,P85,DWV,1.044,Amp,UNKNOWN,35.063,33.188,2.651,1.109,6.837,8.1,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,32,FALSE,
F2,P86,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F3,P87,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F4,P88,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F5,P89,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F6,P90,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F7,P91,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F8,P92,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F9,P93,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F10,P94,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F11,P95,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
F12,Gblock,DWV,1.305,Amp,UNKNOWN,7.265,7.265,-,7.26E+07,7.26E+07,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,5,FALSE,
G1,P85,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G2,P86,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G3,P87,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G4,P88,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G5,P89,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G6,P90,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G7,P91,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G8,P92,BQCV,1.332,Amp,UNKNOWN,29.933,30.449,0.729,26.063,19.57,9.182,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,25,FALSE,
G9,P93,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G10,P94,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G11,P95,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
G12,No Sample,BQCV,0,No Amp,NTC,Undetermined,-,-,-,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H1,P85,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H2,P86,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H3,P87,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H4,P88,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H5,P89,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H6,P90,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H7,P91,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H8,P92,BQCV,1.318,Amp,UNKNOWN,30.964,30.449,0.729,13.077,19.57,9.182,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,26,FALSE,
H9,P93,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H10,P94,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H11,P95,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,39,TRUE,
H12,Gblock,BQCV,1.355,Amp,UNKNOWN,8.925,8.925,-,3.30E+07,3.30E+07,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.12,TRUE,3,5,FALSE,
A1,P96,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A2,P96,DWV,1.043,No Amp,UNKNOWN,36.371,36.371,-,0.476,0.476,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,33,FALSE,
A3,P96,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
A4,P96,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
A5,P97,DWV,0.949,No Amp,UNKNOWN,37.656,37.656,-,0.207,0.207,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,34,FALSE,
A6,P97,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A7,P97,BQCV,1.22,Amp,UNKNOWN,31.699,31.699,-,8,8,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,28,FALSE,
A8,P97,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
A9,P98,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
A10,P98,DWV,1.237,Amp,UNKNOWN,33.735,33.735,-,2.62,2.62,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,
A11,P98,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
A12,P98,BQCV,0.809,No Amp,UNKNOWN,38.432,38.432,-,0.089,0.089,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,35,FALSE,
B1,P99,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B2,P99,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B3,P99,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
B4,P99,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
B5,P100,DWV,1.168,Amp,UNKNOWN,34.485,34.485,-,1.612,1.612,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,
B6,P100,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B7,P100,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
B8,P100,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
B9,P101,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B10,P101,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
B11,P101,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
B12,P101,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C1,P102,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
C2,P102,DWV,1.043,No Amp,UNKNOWN,36.421,36.421,-,0.46,0.46,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,33,FALSE,
C3,P102,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C4,P102,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C5,P103,DWV,1.262,Amp,UNKNOWN,28.86,29.089,0.323,61.496,53.616,11.144,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,26,FALSE,
C6,P103,DWV,1.26,Amp,UNKNOWN,29.318,29.089,0.323,45.737,53.616,11.144,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,26,FALSE,
C7,P103,BQCV,1.145,No Amp,UNKNOWN,35.588,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,32,TRUE,
C8,P103,BQCV,1.131,No Amp,UNKNOWN,35.735,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,32,TRUE,
C9,NTC,DWV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
C10,Gblock,DWV,1.277,Amp,UNKNOWN,7.738,7.738,-,5.34E+07,5.34E+07,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,5,FALSE,
C11,NTC,BQCV,0,No Amp,UNKNOWN,Undetermined,-,-,0,-,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,39,TRUE,
C12,Gblock,BQCV,1.29,Amp,UNKNOWN,7.118,7.118,-,1.11E+08,1.11E+08,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.04,TRUE,3,5,FALSE,
