ID,RNA_Extraction_Date ,ng/ul ,260/280 ,260/230 ,Constant ,RNA_for_Dilution,final_vol,H2O,dil.factor
128,11/19/15,54.48,2.15,1.53,40,15,40.9,25.9,2.7
129,11/19/15,99.65,2.15,1.86,40,10,49.8,39.8,5
130,11/19/15,41.37,2.03,1.31,40,15,31,16,2.1
131,11/20/15,13.09,2.27,0.18,40,5,3.3,-1.7,0.7
132,11/19/15,90.13,2.2,0.75,40,10,45.1,35.1,4.5
133,11/19/15,73.71,2.15,2.02,40,10,36.9,26.9,3.7
134,11/19/15,63.84,2.17,1.89,40,10,31.9,21.9,3.2
135,11/19/15,111.78,2.21,1.87,40,10,55.9,45.9,5.6
136,11/23/15,59.02,2.25,0.86,40,15,44.3,29.3,3
137,11/19/15,86.8,2.15,1.84,40,10,43.4,33.4,4.3
138,12/8/15,131.42,2.16,2.29,40,5,32.9,27.9,6.6
139,12/8/15,174.96,2.18,2.32,40,5,43.7,38.7,8.7
140,12/8/15,151.95,2.21,1.49,40,5,38,33,7.6
141,12/8/15,120.54,2.17,0.96,40,5,30.1,25.1,6
142,12/8/15,75.36,2.2,1.67,40,10,37.7,27.7,3.8
143,12/8/15,141.72,2.19,1.76,40,5,35.4,30.4,7.1
144,12/8/15,19.13,2.05,1.78,40,35,33.5,-1.5,1
145,12/8/15,119.25,2.17,1.62,40,10,59.6,49.6,6
146,12/8/15,148.46,2.2,2.42,40,5,37.1,32.1,7.4
147,12/8/15,133.4,2.15,2.32,40,5,33.4,28.4,6.7
148,12/8/15,111.55,2.18,2.15,40,10,55.8,45.8,5.6
149,12/8/15,119.6,2.21,2.24,40,10,59.8,49.8,6
150,12/8/15,121.06,2.17,2.04,40,5,30.3,25.3,6.1
151,12/8/15,86.87,2.2,1.75,40,10,43.4,33.4,4.3
152,12/8/15,161.21,2.17,2.3,40,5,40.3,35.3,8.1
153,12/8/15,115.96,2.18,2.29,40,10,58,48,5.8
154,12/8/15,157.77,2.17,2.1,40,5,39.4,34.4,7.9
155,12/8/15,127.43,2.17,1.48,40,5,31.9,26.9,6.4
156,12/8/15,123.86,2.15,1.54,40,5,31,26,6.2
157,12/8/15,161.87,2.18,1.8,40,5,40.5,35.5,8.1
158,12/16/15,140.3,2.17,2.29,40,5,35.1,30.1,7
159,12/16/15,120,2.17,2.28,40,5,40.8,35.8,8.2
160,12/16/15,95.81,2.15,1.67,40,10,47.9,37.9,4.8
161,12/16/15,138.85,2.17,1.88,40,5,34.7,29.7,6.9
162,12/16/15,79.55,2.18,1.12,40,10,39.8,29.8,4
163,12/16/15,141.54,2.19,2.28,40,5,35.4,30.4,7.1
164,12/16/15,109.36,2.19,1.65,40,10,54.7,44.7,5.5
165,12/16/15,73.68,2.19,1.2,40,10,36.8,26.8,3.7
166,12/16/15,36.21,2.2,0.49,40,20,36.2,16.2,1.8
167,12/16/15,112.58,2.18,1.48,40,10,56.3,46.3,5.6
168,12/16/15,123.17,2.17,2.16,40,5,30.8,25.8,6.2
169,12/16/15,19.78,2.07,1.44,40,30,29.7,-0.3,1
170,12/16/15,142.18,2.17,1.69,40,5,35.5,30.5,7.1
171,12/16/15,172.02,2.2,0.98,40,5,43,38,8.6
172,12/16/15,140.4,2.18,2.18,40,5,35.1,30.1,7
173,12/16/15,90.25,2.16,1.03,40,10,45.1,35.1,4.5
174,12/16/15,84.75,2.2,2.1,40,10,42.4,32.4,4.2
175,12/16/15,180.06,2.18,1.69,40,5,45,40,9
176,12/16/15,84.64,2.23,1.15,40,10,42.3,32.3,4.2
177,12/16/15,97.09,2.21,1.63,40,10,48.5,38.5,4.9
178,1/22/16,121.16,2.23,2.11,40,5,30.3,25.3,6.1
179,1/22/16,35.4,2.28,1.33,40,20,35.4,15.4,1.8
180,1/22/16,152.03,2.22,2.24,40,5,38,33,7.6
181,1/22/16,177.74,2.2,1.52,40,5,44.4,39.4,8.9
182,1/22/16,179.89,2.23,1.8,40,5,45,40,9
183,1/22/16,98.95,2.24,1.24,40,10,49.5,39.5,4.9
184,1/22/16,184.62,2.23,1.42,40,5,46.2,41.2,9.2
185,1/22/16,131.1,2.22,2.22,40,5,32.8,27.8,6.6
186,1/22/16,89.02,2.27,2.17,40,10,44.5,34.5,4.5
187,1/22/16,73.06,2.3,2.03,40,10,36.5,26.5,3.7
188,1/22/16,142.18,2.22,2.2,40,5,35.5,30.5,7.1
189,1/22/16,148.23,2.27,2.26,40,5,37.1,32.1,7.4
190,1/22/16,120.56,2.24,2.17,40,5,30.1,25.1,6
191,1/22/16,180.74,2.23,2.18,40,5,45.2,40.2,9
192,1/22/16,179.92,2.22,1.87,40,5,45,40,9
193,1/22/16,119.58,2.21,1.7,40,10,59.8,49.8,6
194,1/22/16,26.88,2.24,2.02,40,25,33.6,8.6,1.3
195,1/22/16,98.8,2.21,2.01,40,10,49.4,39.4,4.9
196,1/22/16,109.64,2.26,2.07,40,10,54.8,44.8,5.5
197,1/22/16,145.59,2.24,2.2,40,5,36.4,31.4,7.3
198,1/22/16,111.15,2.25,1,40,10,55.6,45.6,5.6
199,1/22/16,126.46,2.22,1.75,40,5,31.6,26.6,6.3
200,2/22/16,219.69,2.22,2.14,40,5,54.9,49.9,11
201,2/22/16,144.08,2.25,2.27,40,5,36,31,7.2
202,2/22/16,186.83,2.2,2.35,40,5,46.7,41.7,9.3
203,2/22/16,204.78,2.2,2.23,40,5,51.2,46.2,10.2
204,2/22/16,134.28,2.17,1.51,40,5,33.6,28.6,6.7
205,2/22/16,75.85,2.16,1.52,40,10,37.9,27.9,3.8
206,2/22/16,72.7,2.21,0.85,40,10,36.4,26.4,3.6
207,2/22/16,233.3,2.19,2.14,40,5,58.3,53.3,11.7
208,2/22/16,208.16,2.19,2.31,40,5,52,47,10.4
209,2/22/16,173.67,2.2,1.74,40,5,43.4,38.4,8.7
210,2/22/16,174.34,2.21,1.84,40,5,43.6,38.6,8.7
211,2/22/16,161.97,2.21,2.07,40,5,40.5,35.5,8.1
212,3/21/16,169.28,2.23,1.57,40,5,42.3,37.3,8.5
213,3/21/16,234.57,2.21,1.89,40,5,58.6,53.6,11.7
214,3/21/16,176.95,2.22,2,40,5,44.2,39.2,8.8
215,3/21/16,286,2.21,0.94,40,5,71.5,66.5,14.3
216,3/21/16,127.07,2.21,1.87,40,5,31.8,26.8,6.4
217,3/21/16,228.94,2.2,2.33,40,5,57.2,52.2,11.4
218,3/21/16,142.13,2.25,1.09,40,5,35.5,30.5,7.1
219,3/21/16,97.2,2.21,0.81,40,10,48.6,38.6,4.9
220,3/21/16,210.91,2.21,1.7,40,5,52.7,47.7,10.5
221,3/21/16,213.99,2.22,1.44,40,5,53.5,48.5,10.7
222,3/21/16,233.75,2.22,2.14,40,5,58.4,53.4,11.7
223,3/21/16,183.22,2.22,1.76,40,5,45.8,40.8,9.2
224,3/21/16,180.85,2.18,0.94,40,5,45.2,40.2,9
225,3/21/16,197.91,2.23,1.5,40,5,49.5,44.5,9.9
226,3/21/16,111.04,2.21,0.61,40,10,55.5,45.5,5.6
227,3/21/16,204.27,2.21,1.81,40,5,51.1,46.1,10.2
228,3/21/16,157.11,2.2,0.67,40,5,39.3,34.3,7.9
229,3/21/16,33.12,2.17,0.27,40,20,33.1,13.1,1.7
230,3/21/16,155.9,2.2,2.04,40,5,39,34,7.8
231,3/21/16,208.74,2.22,1.14,40,5,52.2,47.2,10.4
232,3/23/16,175.19,2.29,1.48,40,5,43.8,38.8,8.8
233,3/23/16,204.03,2.22,2.27,40,5,51,46,10.2
234,3/23/16,149.43,2.27,1.22,40,5,37.4,32.4,7.5
235,3/23/16,148.79,2.25,1.4,40,5,37.2,32.2,7.4
236,3/23/16,34.98,2.47,1.76,40,20,35,15,1.7
237,3/23/16,281.75,2.22,1.73,40,5,70.4,65.4,14.1
238,3/23/16,144.15,2.23,0.8,40,5,36,31,7.2
239,3/23/16,139.07,2.24,0.62,40,5,34.8,29.8,7
240,3/23/16,143.91,2.25,1.71,40,5,36,31,7.2
241,3/28/16,156.99,2.18,2.17,40,5,39.2,34.2,7.8
242,3/28/16,159.14,2.22,1.42,40,5,39.8,34.8,8
243,3/28/16,139.23,2.2,1.56,40,5,34.8,29.8,7
244,3/28/16,166.31,2.2,1.31,40,5,41.6,36.6,8.3
245,3/28/16,233.68,2.2,2.18,40,5,58.4,53.4,11.7
246,3/28/16,199.78,2.19,1.63,40,5,49.9,44.9,10
247,3/28/16,184.74,2.22,2.33,40,5,46.2,41.2,9.2
248,3/28/16,191.08,2.18,2.07,40,5,47.8,42.8,9.6
249,3/28/16,175.34,2.23,2.38,40,5,43.8,38.8,8.8
250,3/28/16,115.47,2.17,2.28,40,10,57.7,47.7,5.8
251,3/30/16,139.67,2.18,2.08,40,5,34.9,29.9,7
252,3/30/16,184.08,2.23,1.47,40,5,46,41,9.2
253,3/30/16,171.49,2.2,0.72,40,5,42.9,37.9,8.6
254,3/30/16,116.01,2.21,1.43,40,5,29,24,5.8
255,3/30/16,194.38,2.2,1.9,40,5,48.6,43.6,9.7
