well,sample_name,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
F1,K16,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F2,K17,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F3,K18,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F4,K19,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F5,K20,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F6,K21,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F7,K22,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F8,K23,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F9,K24,IAPV,0,No Amp,UNKNOWN,Undetermined,,,3.53E+10,,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
F10,K25,IAPV,0,No Amp,UNKNOWN,Undetermined,37.461,,3.53E+10,0.636,,36.7574,0.9983,-3.5795,90.26926,TRUE,0.04,TRUE,3,39,FALSE,33
G1,K16,ACTIN,1.448,Amp,UNKNOWN,15.607,15.669,0.087,704824.06,677936.6,38024.574,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,11,FALSE,33
G2,K17,ACTIN,1.458,Amp,UNKNOWN,16.539,16.603,0.09,387271.28,372111.53,21439.096,36.5667,0.9988,-3.584,90.11565,TRUE,0.119,TRUE,3,12,FALSE,33
